Thread ID: 2148405680
Total: 0.017664

 %self     total     self     wait    child    calls  name
  0.07      0.00     0.00     0.00     0.00        1  Kernel#lambda
  0.07      0.00     0.00     0.00     0.00        2  Class#read_inheritable_attribute
  0.07      0.00     0.00     0.00     0.00        1  ActionController::ParamsParser#parse_formatted_parameters
  0.07      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#dup
  0.07      0.00     0.00     0.00     0.00        1  Rack::Utils::HeaderHash#initialize
  0.07      0.00     0.00     0.00     0.00        1  Rack::Response#to_a
  0.07      0.00     0.00     0.00     0.00        7  Fixnum#to_s
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.07      0.00     0.00     0.00     0.00        1  Rack::Lint#check_input
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Template::EagerPath#[]
  0.07      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.07      0.00     0.00     0.00     0.00        7  NilClass#to_s
  0.06      0.00     0.00     0.00     0.00        4  ActionController::Base#params
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#call
  0.06      0.00     0.00     0.00     0.00        2  <Class::ActiveRecord::Base>#connection_handler
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#template_format
  0.06      0.00     0.00     0.00     0.00        4  Array#<<
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.06      0.00     0.00     0.00     0.00        1  Rack::Response#close
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Template#render_template
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#request_uri
  0.06      0.01     0.00     0.00     0.01        1  ActiveSupport::BacktraceCleaner#clean
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Base#send_response
  0.06      0.01     0.00     0.00     0.01        1  ActionController::StringCoercion#call
  0.06      0.00     0.00     0.00     0.00        2  ActionController::Rescue#rescues_path
  0.06      0.00     0.00     0.00     0.00        7  Fixnum#>=
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#assign_default_content_type_and_charset!
  0.06      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#include?
  0.06      0.00     0.00     0.00     0.00        4  Array#join
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#fatal
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#query_parameters
  0.06      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action
  0.06      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#release_connection
  0.06      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils::Multipart>#parse_multipart
  0.06      0.00     0.00     0.00     0.00        1  Module#include
  0.06      0.00     0.00     0.00     0.00        1  Rack::Lint#close
  0.06      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#process
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#charset=
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Request#xhr?
  0.06      0.00     0.00     0.00     0.00        1  ActionView::Template#path_without_format_and_extension
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Response#etag?
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::OptionsHash#initialize
  0.06      0.00     0.00     0.00     0.00        1  Module#append_features
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.06      0.00     0.00     0.00     0.00        4  Module#name
  0.06      0.00     0.00     0.00     0.00        2  ActiveSupport::BufferedLogger#info
  0.06      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.06      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.06      0.00     0.00     0.00     0.00        8  Kernel#instance_variable_get
  0.06      0.00     0.00     0.00     0.00        3  Kernel#Array
  0.06      0.00     0.00     0.00     0.00        3  String#to_i
  0.05      0.00     0.00     0.00     0.00        3  Mime::Type#to_s
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#_call
  0.05      0.01     0.00     0.00     0.01        1  ActionController::ParamsParser#call
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Rescue#response_code_for_rescue
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#filter
  0.05      0.00     0.00     0.00     0.00        4  Fixnum#+
  0.05      0.00     0.00     0.00     0.00        3  String#=~
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#nonempty_ok_response?
  0.05      0.00     0.00     0.00     0.00        3  Array#initialize
  0.05      0.00     0.00     0.00     0.00        1  Array#inspect
  0.05      0.00     0.00     0.00     0.00        4  String#to_sym
  0.05      0.00     0.00     0.00     0.00        2  Rack::Request#request_method
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#call
